,,,,,,,
,,,,,,,
,,STT,Mã CK▲,Tên công ty,Ngành,Sàn,Khối lượng NY/ĐKGD
,,1569,VTI,CTCP Sản xuất - Xuất nhập khẩu Dệt may,Hàng tiêu dùng và trang trí,UPCoM,"3,500,000"
,,1570,VTJ,CTCP Thương mại và Đầu tư VI NA TA BA,Phát triển và quản lý bất động sản,HNX,"11,400,000"
,,1571,VTK,CTCP Tư Vấn Và Dịch Vụ Viettel,Dịch vụ viễn thông,UPCoM,"9,383,230"
,,1572,VTL,CTCP Vang Thăng Long,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"10,119,984"
,,1573,VTM,CTCP Vận tải và Đưa đón thợ mỏ - VINACOMIN,Vận tải,UPCoM,"3,279,797"
,,1574,VTO,CTCP Vận tải Xăng dầu Vitaco,Vận tải,HOSE,"79,866,666"
,,1575,VTP,Tổng Công ty cổ phần Bưu chính Viettel,Vận tải,HOSE,"121,783,042"
,,1576,VTQ,CTCP Việt Trung Quảng Bình,Nguyên vật liệu,UPCoM,"17,081,791"
,,1577,VTR,CTCP Du lịch và Tiếp thị Giao thông Vận tải Việt Nam - Vietravel,Vận tải,UPCoM,"29,239,090"
,,1578,VTS,CTCP Viglacera Từ Sơn,Nguyên vật liệu,UPCoM,"2,000,205"
,,1579,VTV,CTCP Năng lượng và Môi trường VICEM,Phân phối và bán lẻ hàng lâu bền,HNX,"31,199,825"
,,1580,VTX,CTCP Vận tải Đa Phương Thức Vietranstimex,Vận tải,UPCoM,"20,972,321"
,,1581,VTZ,CTCP Sản xuất và Thương mại Nhựa Việt Thành,Nguyên vật liệu,HNX,"48,159,833"
,,1582,VUA,CTCP Chứng khoán Stanley Brothers,Dịch vụ tài chính,UPCoM,"33,900,000"
,,1583,VVN,Tổng Công ty cổ phần Xây dựng Công nghiệp Việt Nam,Tư liệu sản xuất,UPCoM,"55,000,000"
,,1584,VVS,CTCP Đầu tư phát triển máy Việt Nam,Phân phối và bán lẻ hàng lâu bền,UPCoM,"21,525,000"
,,1585,VW3,CTCP Viwaseen3,Tư liệu sản xuất,UPCoM,"2,000,000"
,,1586,VWS,CTCP Nước và Môi Trường Việt Nam,Dịch vụ tiện ích,UPCoM,"3,600,000"
,,1587,VXB,CTCP Vật liệu Xây dựng Bến Tre,Tư liệu sản xuất,UPCoM,"4,049,006"
,,1588,VXP,CTCP Thuốc Thú y Trung ương VETVACO,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,"3,600,000"
,,1589,VXT,CTCP Kho vận và Dịch vụ Thương mại,Phân phối và bán lẻ hàng lâu bền,UPCoM,"6,011,932"
,,1590,WCS,CTCP Bến xe Miền Tây,Vận tải,HNX,"2,500,000"
,,1591,WSB,CTCP Bia Sài Gòn - Miền Tây,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"14,500,000"
,,1592,WSS,CTCP Chứng khoán Phố Wall,Dịch vụ tài chính,HNX,"50,300,000"
,,1593,WTC,CTCP Vận tải Thủy - Vinacomin,Vận tải,UPCoM,"10,000,000"
,,1594,X20,CTCP X20,Hàng tiêu dùng và trang trí,HNX,"17,250,000"
,,1595,X26,CTCP 26,Hàng tiêu dùng và trang trí,UPCoM,"5,000,000"
,,1596,X77,CTCP Thành An 77,Nguyên vật liệu,UPCoM,"1,340,877"
,,1597,XDH,CTCP Đầu tư Xây dựng Dân dụng Hà Nội,Phát triển và quản lý bất động sản,UPCoM,"27,026,907"
,,1598,XHC,CTCP Xuân Hòa Việt Nam,Nguyên vật liệu,UPCoM,"21,096,500"
,,1599,XLV,CTCP Xây Lắp và Dịch vụ Sông Đà,Tư liệu sản xuất,UPCoM,"3,000,000"
,,1600,XMC,CTCP Đầu tư và Xây dựng Xuân Mai,Phát triển và quản lý bất động sản,UPCoM,"71,405,689"
,,1601,XMD,CTCP Xuân Mai - Đạo Tú,Nguyên vật liệu,UPCoM,"4,000,000"
,,1602,XMP,CTCP Thủy điện Xuân Minh,Dịch vụ tiện ích,UPCoM,"15,000,000"
,,1603,XPH,CTCP Xà phòng Hà Nội,Đồ gia dụng và cá nhân,UPCoM,"12,972,475"
,,1604,YBC,CTCP Xi măng và Khoáng sản Yên Bái,Nguyên vật liệu,UPCoM,"11,800,000"
,,1605,YBM,CTCP Khoáng sản Công nghiệp Yên Bái,Nguyên vật liệu,HOSE,"14,299,880"
,,1606,YEG,CTCP Tập đoàn Yeah1,Truyền thông và giải trí,HOSE,"137,001,454"
,,1607,YTC,CTCP Xuất nhập khẩu Y tế Thành phố Hồ Chí Minh,Phân phối và bán lẻ hàng lâu bền,UPCoM,"9,548,000"
,,1608,126IBC,CTCP Đầu tư Kinh doanh và Xây dựng 126,,OTC,0
,,1609,3TAudit,Công ty TNHH Dịch vụ Tài chính - Kế toán và Kiểm toán 3T,,Khác,0
,,1610,AA,Công ty TNHH Kiểm toán Mỹ,,Khác,0
,,1611,AAAA,CTCP Bảo hiểm AAA,,OTC,0
,,1612,AAAT,"Công ty TNHH Dịch vụ Kiểm toán, Kế toán và Tư vấn Thuế AAT",,Khác,0
,,1613,AAC,Công ty TNHH Kiểm toán và Kế toán AAC,,Khác,0
,,1614,AACA,Công ty TNHH Tư vấn và Kiểm toán Á Châu,,Khác,0
,,1615,AACC,Công ty TNHH Kế toán Kiểm toán Tư vấn Việt Nam,,Khác,0
,,1616,AACVN,Công ty TNHH Kiểm toán - Tư vấn Định giá ACC Việt Nam,,Khác,0
,,1617,AAFC,Công ty TNHH Tư vấn Tài chính Kế toán và Kiểm toán Việt Nam,,Khác,0
,,1618,AASC,Công ty TNHH Hãng Kiểm toán AASC,,Khác,0
,,1619,AASCN,Công ty TNHH Dịch vụ Tư vấn Tài chính Kinh tế và Kiểm toán Nam Việt,,Khác,0
,,1620,AASCS,Công ty TNHH Dịch vụ Tư vấn Tài chính Kế toán và Kiểm toán Phía Nam,,Khác,0
,,1621,AAUS,CTCP Chứng khoán Á - Âu,,OTC,"3,500,000"
,,1622,ABA,CTCP Giải pháp thương mại A BA,,Khác,0
,,1623,ABBVietNam,Công ty TNHH Kiểm toán A.B.B Việt Nam,,Khác,0
,,1624,ABFM,CTCP Quản lý Quỹ đầu tư Chứng khoán An Bình,,OTC,0
,,1625,AC4,CTCP ACC-244,Tư liệu sản xuất,OTC,"2,940,862"
,,1626,ACAGroup,Công ty TNHH Kiểm toán và Tư vấn Tài chính,,Khác,0
,,1627,ACBC,Công ty TNHH MTV Quản lý Quỹ ACB,,Khác,0
,,1628,ACBS,Công ty TNHH Chứng khoán ACB,,Khác,"150,000,000"
,,1629,ACCCO,CTCP Tư vấn Kiến trúc và Xây dựng Thành phố Hồ Chí Minh,,OTC,0
,,1630,ACGroup,Công ty TNHH Tư vấn và Kiểm toán Quốc tế,,Khác,0
,,1631,ACHAU,CTCP Tơ tằm Á Châu,,OTC,"5,000,000"
,,1632,AChauAudit,Công ty TNHH Kiểm toán Quốc tế Á Châu,,Khác,0
,,1633,Aclii,CTCP Cho thuê Tài chính II Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,,OTC,0
,,1634,ACPA,Công ty TNHH Kiểm toán và Tư vấn Nexia ACPA,,Khác,0
,,1635,ACSVN,CTCP ACS Việt Nam,,OTC,"10,800,000"
,,1636,ACVietNam,Công ty TNHH Tài chính và Kiểm toán Việt Nam,,Khác,0
,,1637,AEAAudit,Công ty TNHH Kiểm toán Đông Á,,Khác,0
,,1638,AECS,CTCP Tư vấn Xây dựng và Dịch vụ Hàng Không,,OTC,0
,,1639,AFC,CTCP Nông Lâm nghiệp Bình Dương,Dịch vụ chuyên biệt và thương mại,OTC,"10,688,363"
,,1640,AFCAudit,Công ty TNHH Kiểm toán AFC Việt Nam,,Khác,0
,,1641,AFCC,Công ty TNHH Kiểm toán và Tư vấn Tài chính A.F.C.C,,Khác,0
,,1642,AFCVietNam,Công ty TNHH Kiểm toán và Tư vấn Tài chính Kế toán Việt Nam,,Khác,0
,,1643,AFCVietnamFund,Quỹ AFC Vietnam Fund,,Khác,0
,,1644,AFPAudit,Công ty TNHH Kiểm toán và Tư vấn AFP,,Khác,0
,,1645,AFVI,Công ty TNHH Kiểm toán Tư vấn Tài chính và Đầu tư Việt Nam,,Khác,0
,,1646,AGC,CTCP Cà phê An Giang,"Thực phẩm, đồ uống và thuốc lá",OTC,"8,300,000"
,,1647,AGD,CTCP Gò Đàng,"Thực phẩm, đồ uống và thuốc lá",OTC,"11,999,930"
,,1648,AGE,CTCP Môi trường Đô thị An Giang,Dịch vụ tiện ích,OTC,"19,893,000"
,,1649,Agribank,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam,,Khác,0
,,1650,AGRIMECO,Tổng Công ty Cơ điện Xây dựng - CTCP,,OTC,0
,,1651,AgrimexcoCaMau,CTCP Xuất nhập khẩu Nông sản Thực phẩm Cà Mau,,OTC,"5,000,000"
,,1652,AGRITOUR,CTCP Du lịch Thương mại Nông nghiệp Việt Nam,,OTC,0
,,1653,AGROMAS,CTCP Cơ điện Nông Nghiệp và Thủy Lợi II,,OTC,0
,,1654,AGTourimex,CTCP Du lịch An Giang,,OTC,0
,,1655,AIA,Công ty TNHH Bảo hiểm Nhân thọ AIA (Việt Nam),,Khác,0
,,1656,AICA,Công ty TNHH Tư vấn - Kiểm toán Liên Minh Quốc tế,,Khác,0
,,1657,AICapital,Công ty Quản lý Quỹ đầu tư A.I Capital,,Khác,0
,,1658,AIG,CTCP Nguyên liệu Á Châu AIG,,Khác,0
,,1659,Airserco,CTCP Cung ứng Dịch vụ Hàng Không,,OTC,"2,800,000"
,,1660,AISC,Công ty TNHH Kiểm toán và Dịch vụ Tin học,,Khác,0
,,1661,AITS,CTCP Tin học Viễn thông Hàng không,,OTC,0
,,1662,ALC,CTCP Âu Lạc,,OTC,"2,890,000"
,,1663,ALP,CTCP Đầu tư Alphanam,Hàng tiêu dùng và trang trí,OTC,"192,484,413"
,,1664,ALS,CTCP Logistics Hàng không,,OTC,0
,,1665,AMIC,CTCP Đầu tư AMIC,,OTC,"12,000,000"
,,1666,ANCO,CTCP Dinh dưỡng Nông nghiệp Quốc tế,,OTC,0
,,1667,AnPhatAudit,Công ty TNHH Kiểm toán và Kế toán An Phát,,Khác,0
,,1668,AnphatCapital,CTCP Quản lý Quỹ NTP,,OTC,"2,500,000"
,,1669,AnPhu,CTCP An Phú,,OTC,0
,,1670,AnPhuCorp,CTCP Đầu tư Bất động sản An Phú,,OTC,0
,,1671,AnPhuGroup,Công ty TNHH Kiểm toán An Phú,,Khác,0
,,1672,Anresco,CTCP Địa ốc An Giang,,OTC,0
,,1673,ANZB,Ngân hàng TNHH MTV ANZ Việt Nam,,Khác,0
,,1674,AON,Công ty TNHH AON Việt Nam,,Khác,0
,,1675,APBAudit,Công ty TNHH Kiểm toán và Kế toán A.P.B,,Khác,0
,,1676,ApecAudit,Công ty TNHH Kiểm toán APEC,,Khác,0
,,1677,Aplaco,CTCP Nhựa Cao Cấp Hàng Không,,OTC,0
,,1678,APRest,CTCP Thương mại Đầu tư Bất động sản An Phát,,OTC,"50,000,000"
,,1679,APSC,CTCP Chứng khoán Alpha,,OTC,0
,,1680,AQN,CTCP 28 Quảng Ngãi,Hàng tiêu dùng và trang trí,OTC,"1,511,097"
,,1681,Artexport,CTCP Xuất nhập khẩu Thủ công mỹ nghệ,,OTC,0
,,1682,ArtexSaigon,CTCP Xuất nhập khẩu Hàng tiểu thủ công nghiệp Sài Gòn,,OTC,"2,564,430"
,,1683,ASCAudit,Công ty TNHH Kiểm toán ASC,,Khác,0
,,1684,ASCH,CTCP Hóa chất Á Châu,,OTC,0
,,1685,ASCO,Công ty TNHH Kiểm toán ASCO,,Khác,0
,,1686,ASCSaiGon,CTCP Đầu tư Nông nghiệp ASC Sài Gòn,,OTC,0
,,1687,ASD,CTCP Sông Đà Hà Nội,Tư liệu sản xuất,OTC,"4,500,000"
,,1688,AseanAudit,Công ty TNHH Kiểm toán và Tư vấn ASEAN,,Khác,0
,,1689,ASIACorp,CTCP Châu Á,,OTC,"3,600,000"
,,1690,ASIAGF,Quỹ đầu tư Tăng trưởng ACB,Dịch vụ tài chính,OTC,"24,008,000"
,,1691,ASNAF,Công ty TNHH Kiểm toán ASNAF VN,,Khác,0
,,1692,ATAAudit,Công ty TNHH Kiểm toán Quốc tế ATA,,Khác,0
,,1693,ATAX,Công ty TNHH Kiểm toán và Tư vấn Thuế ATAX,,Khác,0
,,1694,ATC,CTCP Sản xuất - Thương mại - Xuất nhập khẩu Viễn Thông A,,OTC,"3,000,000"
,,1695,ATD,CTCP 28 Đà Nẵng,Hàng tiêu dùng và trang trí,OTC,"1,544,300"
,,1696,ATICVietnam,Công ty TNHH Kiểm toán Tư vấn Việt Nam,,Khác,0
,,1697,ATSC,CTCP Chứng khoán An Thành,,OTC,"4,100,000"
,,1698,AUDI,Công ty TNHH Kiểm toán - Tư vấn Thuế,,Khác,0
,,1699,AuditConsult,Công ty TNHH Kiểm toán và Tư vấn A&C,,Khác,0
,,1700,AuLac,Công ty TNHH Kiểm toán Âu Lạc,,Khác,0
,,1701,AUM,CTCP Vinacafe Sơn Thành,"Thực phẩm, đồ uống và thuốc lá",OTC,"1,000,000"
,,1702,Auto15,CTCP Ô tô 1-5,,OTC,0
,,1703,AVA,Công ty TNHH Kiểm toán và Thẩm định giá Việt Nam,,Khác,0
,,1704,AVICO,Công ty TNHH Kiểm toán AVICO,,Khác,0
,,1705,Avicon,CTCP Công trình Hàng không,,OTC,0
,,1706,AVINA,"Công ty TNHH Tư vấn Thuế, Kế toán và Kiểm toán Việt Nam",,Khác,0
,,1707,AVS,CTCP Chứng khoán Âu Việt,Dịch vụ tài chính,OTC,0
,,1708,AzureCity,CTCP Thành Phố Xanh,,OTC,"60,000,000"
,,1709,B82,CTCP 482,Tư liệu sản xuất,OTC,"5,000,000"
,,1710,BacGiang,CTCP Xuất nhập Khẩu Bắc Giang,,OTC,0
,,1711,BachViet,CTCP Công nghệ và Đầu tư Bách Việt,,OTC,0
,,1712,BAFECO,CTCP Thức ăn Chăn nuôi Bạc Liêu,,OTC,0
,,1713,BAM,CTCP Khoáng sản và Luyện kim Bắc Á,Nguyên vật liệu,OTC,"30,000,000"
,,1714,BaoBi277,Công ty TNHH MTV Bao Bì 277 Hà Nội,,Khác,0
,,1715,BaoBiDuoc,CTCP Bao bì Dược,,OTC,0
,,1716,BaoHoLaoDong,CTCP Tạp phẩm và Bảo hộ Lao động,,OTC,0
,,1717,BaoVietBank,Ngân hàng TMCP Bảo Việt,,OTC,"300,000,000"
,,1718,BaoVietResort,CTCP Khách Sạn và Du Lịch Bảo Việt,,OTC,0
,,1719,Barotex,CTCP Thương mại và Đầu tư Barotex Việt Nam,,OTC,"65,200,000"
,,1720,BAS,CTCP Basa,"Thực phẩm, đồ uống và thuốc lá",OTC,"9,600,000"
,,1721,Baseafood,CTCP Chế biến Xuất nhập khẩu Thủy sản Bà Rịa - Vũng Tàu,,OTC,"4,800,000"
,,1722,BAV,CTCP Hàng không Tre Việt,,OTC,0
,,1723,BBL,CTCP Bourbon Bến Lức,,OTC,0
,,1724,BCEL,Ngân hàng Ngoại Thương Lào,,Lào,"136,577,600"
,,1725,BCEL-KT,BCEL-KT Securities Co. LTD,,Khác,0
,,1726,BCI,Công ty TNHH MTV Đầu tư Kinh doanh Nhà Khang Phúc,Phát triển và quản lý bất động sản,Khác,"86,720,144"
,,1727,BDC,Tổng Công ty Xây dựng Bạch Đằng - CTCP,Tư liệu sản xuất,OTC,"21,735,900"
,,1728,BDF,CTCP Giày Bình Định,Hàng tiêu dùng và trang trí,OTC,"1,550,000"
,,1729,BDMienTrung,CTCP Xây lắp Bưu điện Miền Trung,,OTC,0
,,1730,BDOAudit,Công ty TNHH Kiểm toán BDO,,Khác,0
,,1731,BDP,CTCP Biệt thự và Khách sạn biển Đông Phương,Phát triển và quản lý bất động sản,OTC,"25,000,000"
,,1732,BDS,CTCP Đường Bình Định,"Thực phẩm, đồ uống và thuốc lá",OTC,"3,400,000"
,,1733,BDSDKVN,CTCP Bất động sản Dầu khí Việt Nam,,OTC,0
,,1734,BDSThanhNien,CTCP Bất động sản Thanh Niên,,OTC,0
,,1735,BecamexCMC,CTCP Vật liệu Xây dựng Becamex,,OTC,0
,,1736,BenhVienGiaoThong,CTCP Bệnh viện Giao thông Vận tải,,OTC,0
,,1737,BenThanhG,Tổng Công ty Bến Thành,,OTC,0
,,1738,Benthanhhouse,CTCP Phát triển và Dịch vụ Nhà Bến Thành,,OTC,0
,,1739,Beta,CTCP Chứng khoán Beta,,OTC,"40,000,000"
,,1740,BeTongHaiAu,CTCP Bê tông Hải Âu,,OTC,0
,,1741,BGM,CTCP Khai Thác và Chế Biến khoáng Sản Bắc Giang,Nguyên vật liệu,OTC,"45,753,840"
,,1742,BHAAC,Công ty TNHH Kiểm toán và Kế toán Biên Hoà,,Khác,0
,,1743,BHDienMay,CTCP Bách hóa Điện máy Sài Gòn,,OTC,0
,,1744,BHS,Công ty TNHH MTV Đường TTC Biên Hòa - Đồng Nai,"Thực phẩm, đồ uống và thuốc lá",Khác,"297,874,449"
,,1745,BHT,CTCP Đầu tư Xây dựng Bạch Đằng TMC,Tư liệu sản xuất,OTC,"4,565,000"
,,1746,BHV,CTCP Bá Hiến,Nguyên vật liệu,OTC,"972,013"
,,1747,BiaCanTho,CTCP Bia Nước giải khát Cần Thơ,,OTC,"2,390,000"
,,1748,BiaSaiGonDongNai,CTCP Bia Sài Gòn - Đồng Nai,,OTC,0
,,1749,BiaSaiGonHaNam,CTCP Bia Sài Gòn - Hà Nam,,OTC,0
,,1750,BiaSaiGonPhuYen,CTCP Bia Sài Gòn - Phú Yên,,OTC,"6,000,000"
,,1751,BiaSaiGonQuyNhon,CTCP Bia Sài Gòn - Quy Nhơn,,OTC,0
,,1752,BiaVietHa,CTCP Bia và Nước giải khát Việt Hà,,OTC,0
,,1753,BIDVMetlife,Công ty TNHH Bảo hiểm nhân thọ BIDV Metlife,,Khác,0
,,1754,BikeThongNhat,CTCP Thống Nhất Hà Nội,,Khác,0
,,1755,BinhAnSeaFood,CTCP Thủy sản Bình An,,OTC,"50,000,000"
,,1756,BinhDien,CTCP Thủy điện Bình Điền,,OTC,0
,,1757,BinhDinh,CTCP Vật tư Kỹ thuật Nông nghiệp Bình Định,,OTC,0
,,1758,BinhTriThien,CTCP Lương thực Bình Trị Thiên,,OTC,0
,,1759,Biprica,CTCP In và Bao bì Bình Định,,OTC,0
,,1760,BJC,CTCP VRG - Bảo Lộc,,OTC,0
,,1761,BKH,CTCP Bánh mứt kẹo Hà Nội,"Thực phẩm, đồ uống và thuốc lá",OTC,"1,750,000"
,,1762,BLU,Trung tâm Dịch vụ Đô thị tỉnh Bạc Liêu,Dịch vụ chuyên biệt và thương mại,OTC,"1,337,600"
,,1763,Bluechipfund,Quỹ đầu tư Cổ phiếu Hàng đầu VCBF,,OTC,0
,,1764,BLW,CTCP Cấp nước Bạc Liêu,Dịch vụ tiện ích,OTC,"11,168,800"
,,1765,BM9,CTCP Đầu tư Xây dựng 319 Miền Nam,Phân phối và bán lẻ hàng lâu bền,OTC,"3,795,680"
,,1766,BMJC,CTCP Xây dựng và Sản xuất Vật liệu Xây dựng,,OTC,0
,,1767,BNC,CTCP Dịch vụ Cáp treo Bà Nà,,OTC,"216,400,000"
,,1768,BongSen,CTCP Bông Sen,,OTC,"32,663,788"
,,1769,BOT741,CTCP Kinh doanh BOT đường ĐT.741,,Khác,0
,,1770,BOTRM,Công ty TNHH B.O.T Cầu Rạch Miễu,,Khác,0
,,1771,BPMC,CTCP Vật tư Xăng dầu Bình Thuận,,OTC,0
,,1772,BPW,CTCP Cấp thoát nước Bình Phước,Dịch vụ tiện ích,OTC,"13,203,858"
,,1773,Britec,CTCP Tư vấn Thiết kế Cầu Lớn - Hầm,,OTC,0
,,1774,BSMCorp,CTCP Phần mềm Giải pháp Quản lý Mã vạch,,OTC,0
,,1775,BTC,CTCP Cơ khí và Xây dựng Bình Triệu,Tư liệu sản xuất,OTC,"30,000,000"
,,1776,BTCom,CTCP Đầu tư Thương mại Bến Thành,,OTC,0
,,1777,BTJ,CTCP Vàng bạc Đá quý Bến Thành,,OTC,0
,,1778,BTL,CTCP Tập đoàn Capella,,OTC,"13,625,400"
,,1779,BTR,CTCP Đường sắt Bình Trị Thiên,Vận tải,OTC,"1,850,000"
,,1780,BTWASECO,CTCP Cấp thoát nước Bình Thuận,,OTC,0
,,1781,BUD,CTCP Khoa học Công nghệ Việt Nam,Dịch vụ chuyên biệt và thương mại,OTC,"10,000,000"
,,1782,BuuDienCM,CTCP Xây lắp và Dịch vụ Bưu điện Cà Mau,,OTC,0
,,1783,BVA,CTCP Sản xuất và Thương mại Bắc Việt,,OTC,0
,,1784,BVC,CTCP Nhựa Bảo Vân,,OTC,"24,000,000"
,,1785,BVF1,Quỹ đầu tư Chứng khoán Bảo Việt,,OTC,0
,,1786,BVFED,Quỹ đầu tư Cổ phiếu Năng động Bảo Việt,,OTC,0
,,1787,BVFMC,Công ty TNHH Quản lý Quỹ Bảo Việt,,Khác,0
,,1788,BVIM,CTCP Quản lý Quỹ BVIM,,Khác,0
,,1789,BXBTQuangNinh,Công ty TNHH MTV Bến Xe - Bến Tàu Quảng Ninh,,Khác,0
,,1790,BXD,CTCP Vận tải và Quản lý Bến xe Đà Nẵng,Vận tải,OTC,"1,736,500"
,,1791,BXT,CTCP Bến xe Tàu Hậu Giang,Vận tải,OTC,"63,400"
,,1792,C36,CTCP Quản lý và Xây dựng Công trình Giao thông 236,Tư liệu sản xuất,OTC,"1,123,500"
,,1793,C42,CTCP Xây dựng Thủy lợi 42,,OTC,0
,,1794,C71,CTCP 471,Tư liệu sản xuất,OTC,"5,000,000"
,,1795,CAA,Công ty TNHH Tư vấn và Kiểm toán CA&A,,Khác,0
,,1796,CADICO,CTCP Cadico,,OTC,0
,,1797,Cafatex,CTCP Thủy sản Cafatex,,OTC,0
,,1798,CafeControl,CTCP Giám định Cà phê và Hàng Hoá Xuất nhập khẩu,,OTC,"1,700,000"
,,1799,CAGLOBAL,Công ty TNHH Kiểm toán và Tư vấn Toàn cầu,,Khác,0
,,1800,CAM,CTCP Môi trường đô thị Cà Mau,Dịch vụ tiện ích,OTC,"1,310,700"
,,1801,CamRanh,CTCP Thương mại Hàng không Cam Ranh,,OTC,0
,,1802,CangVatCach,CTCP Cảng Vật Cách,,OTC,0
,,1803,CanHoNamLong,CTCP Phát triển Căn hộ Nam Long,,OTC,0
,,1804,CanhXuanAudit,Công ty TNHH Kiểm toán Cảnh Xuân,,Khác,0
,,1805,CaoSuBinhDuong,CTCP Cao su Bình Dương,,OTC,0
,,1806,CAPHEDALAT,Công ty TNHH MTV Xuất nhập khẩu Cà phê Đà Lạt,,Khác,0
,,1807,CapitaLand,Công ty TNHH Quản lý Bất động sản CapitalLand,,Khác,0
,,1808,CapNuocCanTho2,CTCP Cấp nước Cần Thơ II,,OTC,0
,,1809,CapNuocNghiaLo,Công ty TNHH Xây dựng Cấp thoát nước Nghĩa Lộ,,Khác,0
,,1810,CapNuocYenBai,Công ty TNHH MTV Cấp nước Yên Bái,,Khác,0
,,1811,CapQuang,CTCP Công nghệ Cáp quang và Thiết bị Bưu điện,,OTC,0
,,1812,CapVietNhat,CTCP Đầu tư Thương mại Việt Nhật,,OTC,"10,000,000"
,,1813,CAR,CTCP Tập đoàn Giáo dục Trí Việt,Dịch vụ tiêu dùng,OTC,"5,059,098"
,,1814,Caric,CTCP Caric,,OTC,0
,,1815,CASHIN,CTCP Công nghiệp Tàu thủy và Vận tải Cần Thơ,,OTC,"4,732,985"
,,1816,CASOCO,CTCP Cảng Phú Định,,OTC,0
,,1817,CathayLife,Công ty TNHH Bảo hiểm Nhân thọ Cathay - Việt Nam,,Khác,0
,,1818,CatTuongAudit,Công ty Kiểm toán Cát Tường VAI,,Khác,0
,,1819,Cau14,CTCP Cầu 14 - Cienco 1,,OTC,0
,,1820,CauGiay,CTCP Đầu tư Thương mại Dịch vụ Cầu Giấy,,OTC,"7,670,000"
,,1821,CauTre,CTCP Thực phẩm CJ Cầu Tre,,OTC,"11,700,000"
,,1822,CAV,CTCP Dây Cáp điện Việt Nam,Hàng tiêu dùng và trang trí,OTC,"57,600,000"
,,1823,Cavicob,CTCP Cavico Xây dựng Cầu Hầm,,OTC,"7,000,000"
,,1824,CavicoEc,CTCP Xây dựng Năng lượng,,OTC,"3,250,000"
,,1825,CavicoGiaoThong,CTCP CAVICO Giao thông,,OTC,0
,,1826,CavicoHaTang,CTCP Cavico Xây dựng Hạ tầng,,OTC,0
,,1827,CavicoHC,CTCP Cavico Xây dựng Thủy điện,,OTC,"6,455,103"
,,1828,CavicoVN,CTCP Xây dựng và Đầu Tư Cavico Việt Nam,,OTC,0
,,1829,CayTrong,CTCP Giống cây trồng Quảng Ninh,,OTC,0
,,1830,CBBank,Ngân hàng Thương mại TNHH MTV Xây dựng Việt Nam,,Khác,"750,000,000"
,,1831,CBC,CTCP Chè Bàu Cạn,"Thực phẩm, đồ uống và thuốc lá",OTC,"11,882,400"
,,1832,CBV,CTCP CTCBIO Việt Nam,,Khác,0
,,1833,CC7,CTCP Xây dựng Công trình Giao thông 710,,OTC,"3,167,323"
,,1834,CCH,CTCP Tư vấn và Đầu tư Xây dựng CCIC Hà Nội,Dịch vụ chuyên biệt và thương mại,OTC,"1,000,000"
,,1835,CCN2,CTCP Xây dựng Số 2 Quảng Ninh,,OTC,0
,,1836,CEC,CTCP Thiết kế Công Nghiệp Hóa chất,Dịch vụ chuyên biệt và thương mại,OTC,"5,977,036"
,,1837,CEE,CTCP Xây dựng Hạ tầng CII,Tư liệu sản xuất,OTC,"41,500,000"
,,1838,CemacoHanoi,CTCP Hóa chất và Vật tư Khoa học Kỹ thuật,,OTC,0
,,1839,CER,CTCP Địa chính và Tài nguyên Môi trường,Dịch vụ chuyên biệt và thương mại,OTC,"1,335,000"
,,1840,CFC,CTCP Cafico Việt Nam,"Thực phẩm, đồ uống và thuốc lá",OTC,"2,234,280"
,,1841,CGL,CTCP Thương mại Gia Lai,Phân phối và bán lẻ hàng lâu bền,OTC,"1,880,000"
,,1842,CGP,CTCP Dược phẩm Cần Giờ,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",OTC,"10,735,708"
,,1843,CheBienLamSan,Công ty Vận tải và Chế biến Lâm sản,,Khác,0
,,1844,CheBienThucPham,Xí Nghiệp Kinh doanh Gia súc Gia cầm và Chế biến Thực phẩm,,Khác,0
,,1845,CheLamDong,CTCP Chè Lâm Đồng,,OTC,0
,,1846,CHIN2,CTCP Chín Chín Núi,,OTC,0
,,1847,ChipSang,CTCP Chíp Sáng,,OTC,0
,,1848,ChoLonTourist,CTCP Dịch vụ Du lịch Chợ lớn,,OTC,0
,,1849,ChuanVang,Công ty TNHH Kiểm toán Chuẩn Vàng,,Khác,0
,,1850,CHUBBLIFE,Công ty TNHH MTV Quản lý Quỹ CHUBB LIFE,,Khác,0
,,1851,ChubbLifeVN,Công ty TNHH Bảo hiểm nhân thọ Chubb Việt Nam,,Khác,0
,,1852,CHULAIQN,CTCP Đầu tư và Phát triển Kỳ Hà - Chu Lai Quảng Nam,,OTC,0
,,1853,CIC,CTCP Đầu tư và Xây dựng Cotec,Tư liệu sản xuất,OTC,"4,635,062"
,,1854,CIC1,CTCP Xây dựng Dân dụng Công nghiệp Số 1 - Đồng Nai,,OTC,"1,537,200"
,,1855,CIC8,CTCP Đầu tư và Xây dựng Số 8,,OTC,"400,000"
,,1856,CICP1,CTCP Tư vấn Đầu tư và Xây dựng Công trình 1,,OTC,0
,,1857,CIE,CTCP Đầu tư và Xây dựng Công trình 128,,OTC,0
