,,,,,,,
,,,,,,,
,,STT,Mã CK▲,Tên công ty,Ngành,Sàn,Khối lượng NY/ĐKGD
,,157,BTW,CTCP Cấp nước Bến Thành,Dịch vụ tiện ích,HNX,"9,360,000"
,,158,BVB,Ngân hàng TMCP Bản Việt,Tổ chức tín dụng,UPCoM,"551,846,215"
,,159,BVG,CTCP Group Bắc Việt,Nguyên vật liệu,UPCoM,"9,750,948"
,,160,BVH,Tập đoàn Bảo Việt,Bảo hiểm,HOSE,"742,322,764"
,,161,BVL,CTCP BV Land,Phát triển và quản lý bất động sản,UPCoM,"82,788,300"
,,162,BVN,CTCP Bông Việt Nam,Hàng tiêu dùng và trang trí,UPCoM,"5,000,000"
,,163,BVS,CTCP Chứng khoán Bảo Việt,Dịch vụ tài chính,HNX,"72,233,937"
,,164,BWA,CTCP Cấp thoát nước và Xây dựng Bảo Lộc,Dịch vụ tiện ích,UPCoM,"2,700,000"
,,165,BWE,CTCP - Tổng công ty nước - môi trường Bình Dương,Dịch vụ tiện ích,HOSE,"219,928,644"
,,166,BWS,CTCP Cấp nước Bà Rịa - Vũng Tàu,Dịch vụ tiện ích,UPCoM,"100,007,569"
,,167,BXH,CTCP VICEM Bao bì Hải Phòng,Nguyên vật liệu,HNX,"3,012,040"
,,168,C12,CTCP Cầu 12,Tư liệu sản xuất,UPCoM,"4,850,000"
,,169,C21,CTCP Thế Kỷ 21,Phát triển và quản lý bất động sản,UPCoM,"19,336,371"
,,170,C22,CTCP 22,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"3,550,000"
,,171,C32,CTCP CIC39,Nguyên vật liệu,HOSE,"15,030,145"
,,172,C47,CTCP Xây dựng 47,Tư liệu sản xuất,HOSE,"36,342,269"
,,173,C4G,CTCP Tập đoàn CIENCO4,Tư liệu sản xuất,UPCoM,"357,300,754"
,,174,C69,CTCP Xây dựng 1369,Tư liệu sản xuất,HNX,"61,799,972"
,,175,C92,CTCP Xây dựng và Đầu tư 492,Tư liệu sản xuất,UPCoM,"5,312,920"
,,176,CAB,CTCP Tổng Công ty Truyền hình Cáp Việt Nam,Truyền thông và giải trí,UPCoM,"45,745,876"
,,177,CAD,CTCP Chế biến và Xuất nhập khẩu Thủy sản Cadovimex,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"8,799,927"
,,178,CAG,CTCP Cảng An Giang,Vận tải,HNX,"13,800,000"
,,179,CAN,CTCP Đồ hộp Hạ Long,"Thực phẩm, đồ uống và thuốc lá",HNX,"5,000,000"
,,180,CAP,CTCP Lâm Nông sản Thực phẩm Yên Bái,"Thực phẩm, đồ uống và thuốc lá",HNX,"15,269,965"
,,181,CAT,CTCP Thủy sản Cà Mau,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"9,748,579"
,,182,CBI,CTCP Gang thép Cao Bằng,Nguyên vật liệu,UPCoM,"43,006,366"
,,183,CBS,CTCP Mía Đường Cao Bằng,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"5,291,868"
,,184,CC1,Tổng Công ty Xây dựng Số 1 - CTCP,Tư liệu sản xuất,UPCoM,"358,507,825"
,,185,CC4,CTCP Đầu tư và Xây dựng Số 4,Tư liệu sản xuất,UPCoM,"64,000,000"
,,186,CCA,CTCP Xuất nhập khẩu Thuỷ sản Cần Thơ,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"15,092,326"
,,187,CCC,CTCP Xây dựng CDC,Tư liệu sản xuất,UPCoM,"40,250,000"
,,188,CCI,CTCP Đầu tư Phát triển Công nghiệp Thương mại Củ Chi,Phân phối và bán lẻ hàng lâu bền,HOSE,"17,743,865"
,,189,CCL,CTCP Đầu tư và Phát triển Đô thị Dầu khí Cửu Long,Phát triển và quản lý bất động sản,HOSE,"59,581,418"
,,190,CCM,CTCP khoáng sản và Xi măng Cần Thơ,Nguyên vật liệu,UPCoM,"6,199,900"
,,191,CCP,CTCP Cảng Cửa Cấm Hải Phòng,Vận tải,UPCoM,"2,400,000"
,,192,CCR,CTCP Cảng Cam Ranh,Vận tải,HNX,"24,501,817"
,,193,CCT,CTCP Cảng Cần Thơ,Vận tải,UPCoM,"28,480,000"
,,194,CCV,CTCP Tư vấn Xây dựng Công nghiệp và Đô thị Việt Nam,Dịch vụ chuyên biệt và thương mại,UPCoM,"1,800,000"
,,195,CDC,CTCP Chương Dương,Phát triển và quản lý bất động sản,HOSE,"21,988,716"
,,196,CDG,CTCP Cầu Đuống,Nguyên vật liệu,UPCoM,"3,464,995"
,,197,CDH,CTCP Công trình Công cộng và Dịch vụ Du lịch Hải Phòng,Dịch vụ tiện ích,UPCoM,"2,000,000"
,,198,CDN,CTCP Cảng Đà Nẵng,Vận tải,HNX,"99,000,000"
,,199,CDO,CTCP Tư vấn Thiết kế và Phát triển Đô thị,Phân phối và bán lẻ hàng lâu bền,UPCoM,"31,504,975"
,,200,CDP,CTCP Dược phẩm Trung ương Codupha,Phân phối và bán lẻ hàng lâu bền,UPCoM,"18,270,000"
,,201,CDR,CTCP Xây dựng Cao su Đồng Nai,Tư liệu sản xuất,UPCoM,"2,133,271"
,,202,CE1,CTCP Xây dựng và Thiết bị Công nghiệp CIE1,Tư liệu sản xuất,UPCoM,"6,000,000"
,,203,CEG,CTCP Tập đoàn Xây dựng và Thiết bị Công nghiệp,Tư liệu sản xuất,UPCoM,"3,800,000"
,,204,CEN,CTCP CENCON Việt Nam,Phân phối và bán lẻ hàng lâu bền,UPCoM,"21,712,440"
,,205,CEO,CTCP Tập đoàn C.E.O,Phát triển và quản lý bất động sản,HNX,"540,406,432"
,,206,CET,CTCP HTC Holding,Hàng tiêu dùng và trang trí,HNX,"6,050,000"
,,207,CFM,CTCP Đầu tư CFM,Dịch vụ tiêu dùng,UPCoM,"2,000,000"
,,208,CFV,CTCP Cà phê Thắng Lợi,"Thực phẩm, đồ uống và thuốc lá",UPCoM,"8,096,000"
,,209,CGV,CTCP Vinaceglass,Nguyên vật liệu,UPCoM,"9,499,956"
,,210,CH5,CTCP Xây dựng Số 5 Hà Nội,Tư liệu sản xuất,UPCoM,"3,732,450"
,,211,CHC,CTCP Cẩm Hà,Nguyên vật liệu,UPCoM,"6,731,596"
,,212,CHP,CTCP Thủy điện Miền Trung,Dịch vụ tiện ích,HOSE,"146,912,668"
,,213,CHS,CTCP Chiếu sáng Công cộng Thành phố Hồ Chí Minh,Tư liệu sản xuất,UPCoM,"28,400,000"
,,214,CI5,CTCP Đầu Tư Xây dựng Số 5,Tư liệu sản xuất,UPCoM,"2,700,000"
,,215,CIA,CTCP Dịch vụ Sân bay Quốc tế Cam Ranh,Vận tải,HNX,"19,709,904"
,,216,CID,CTCP Xây dựng và Phát triển Cơ sở Hạ tầng,Phát triển và quản lý bất động sản,UPCoM,"1,082,000"
,,217,CIG,CTCP COMA 18,Phát triển và quản lý bất động sản,HOSE,"31,539,947"
,,218,CII,CTCP Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh,Tư liệu sản xuất,HOSE,"318,778,113"
,,219,CIP,CTCP Xây lắp và Sản xuất Công nghiệp,Tư liệu sản xuất,UPCoM,"4,545,000"
,,220,CJC,CTCP Cơ điện Miền Trung,Tư liệu sản xuất,HNX,"8,000,000"
,,221,CK8,CTCP Cơ khí 120,Vận tải,UPCoM,"3,000,000"
,,222,CKA,CTCP Cơ Khí An Giang,Nguyên vật liệu,UPCoM,"3,286,404"
,,223,CKD,CTCP Cơ khí Đông Anh LICOGI,Nguyên vật liệu,UPCoM,"31,000,000"
,,224,CKG,CTCP Tập đoàn Tư vấn Đầu tư Xây dựng Kiên Giang,Phát triển và quản lý bất động sản,HOSE,"95,259,361"
,,225,CKV,CTCP COKYVINA,Dịch vụ viễn thông,HNX,"4,050,000"
,,226,CLC,CTCP Cát Lợi,"Thực phẩm, đồ uống và thuốc lá",HOSE,"26,207,583"
,,227,CLG,CTCP Đầu tư và Phát triển Nhà đất COTEC,Tư liệu sản xuất,UPCoM,"21,150,000"
,,228,CLH,CTCP Xi măng La Hiên VVMI,Nguyên vật liệu,HNX,"12,000,000"
,,229,CLL,CTCP Cảng Cát Lái,Vận tải,HOSE,"34,000,000"
,,230,CLM,CTCP Xuất nhập khẩu Than - Vinacomin,Năng lượng,HNX,"11,000,000"
,,231,CLW,CTCP Cấp nước Chợ Lớn,Dịch vụ tiện ích,HOSE,"13,000,000"
